id,timezone,tzoffset,tzoffset_dst,geo_ids
95,Chihuahua,-25200,-21600,
96,Coral_Harbour,-18000,-18000,"CAN,CAN-NU"
97,Cordoba,-10800,-10800,
98,Costa_Rica,-21600,-21600,
99,Creston,-25200,-25200,
100,Cuiaba,-14400,-10800,
101,Curacao,-14400,-14400,
102,Danmarkshavn,0,0,
103,Dawson,-28800,-25200,"CAN,CAN-YT"
104,Dawson_Creek,-25200,-25200,"CAN,CAN-BC"
105,Denver,-25200,-21600,"USA,USA-CO"
106,Detroit,-18000,-14400,"USA,USA-MI"
107,Dominica,-14400,-14400,
108,Edmonton,-25200,-21600,"CAN,CAN-AB"
109,Eirunepe,-18000,-18000,
110,El_Salvador,-21600,-21600,
111,Ensenada,-28800,-25200,
112,Fort_Nelson,-25200,-25200,
113,Fort_Wayne,-18000,-14400,
114,Fortaleza,-10800,-10800,
115,Glace_Bay,-14400,-10800,"CAN,CAN-NS"
116,Godthab,-10800,-7200,
117,Goose_Bay,-14400,-10800,"CAN,CAN-NL"
118,Grand_Turk,-14400,-14400,
119,Grenada,-14400,-14400,
120,Guadeloupe,-14400,-14400,
121,Guatemala,-21600,-21600,
122,Guayaquil,-18000,-18000,
123,Guyana,-14400,-14400,
124,Halifax,-14400,-10800,"CAN,CAN-NS"
125,Havana,-18000,-14400,
126,Hermosillo,-25200,-25200,
127,Indianapolis,-18000,-14400,"USA,USA-IN"
128,Knox,-21600,-18000,"USA,USA-IN"
129,Marengo,-18000,-14400,"USA,USA-IN"
130,Petersburg,-18000,-14400,"USA,USA-IN"
131,Tell_City,-21600,-18000,"USA,USA-IN"
132,Vevay,-18000,-14400,"USA,USA-IN"
133,Vincennes,-18000,-14400,"USA,USA-IN"
134,Winamac,-18000,-14400,"USA,USA-IN"
136,Inuvik,-25200,-21600,"CAN,CAN-NT"
137,Iqaluit,-18000,-14400,"CAN,CAN-NU"
138,Jamaica,-18000,-18000,
139,Jujuy,-10800,-10800,
140,Juneau,-32400,-28800,
141,Louisville,-18000,-14400,"USA,USA-KY"
142,Monticello,-18000,-14400,"USA,USA-KY"
144,Kralendijk,-14400,-14400,
145,La_Paz,-14400,-14400,
146,Lima,-18000,-18000,
147,Los_Angeles,-28800,-25200,"USA,USA-CA"
149,Lower_Princes,-14400,-14400,
150,Maceio,-10800,-10800,
151,Managua,-21600,-21600,
152,Manaus,-14400,-14400,
153,Marigot,-14400,-14400,
154,Martinique,-14400,-14400,
155,Matamoros,-21600,-18000,
156,Mazatlan,-25200,-21600,
157,Mendoza,-10800,-10800,
158,Menominee,-21600,-18000,"USA,USA-MI"
159,Merida,-21600,-18000,
160,Metlakatla,-28800,-28800,
161,Mexico_City,-21600,-18000,
162,Miquelon,-10800,-7200,
163,Moncton,-14400,-10800,"CAN,CAN-NB"
164,Monterrey,-21600,-18000,
165,Montevideo,-10800,-7200,
166,Montreal,-18000,-14400,"CAN,CAN-QC"
167,Montserrat,-14400,-14400,
168,Nassau,-18000,-14400,
169,New_York,-18000,-14400,"USA,USA-NY"
170,Nipigon,-18000,-14400,"CAN,CAN-ON"
171,Nome,-32400,-28800,"USA,USA-AK"
172,Noronha,-7200,-7200,
173,Beulah,-21600,-18000,"USA,USA-ND"
174,Center,-21600,-18000,"USA,USA-ND"
175,New_Salem,-21600,-18000,"USA,USA-ND"
176,Ojinaga,-25200,-21600,
177,Panama,-18000,-18000,
178,Pangnirtung,-18000,-14400,"CAN,CAN-NU"
179,Paramaribo,-10800,-10800,
180,Phoenix,-25200,-25200,"USA,USA-AZ"
181,Port-au-Prince,-18000,-14400,
182,Port_of_Spain,-14400,-14400,
183,Porto_Acre,-18000,-18000,
184,Porto_Velho,-14400,-14400,
185,Puerto_Rico,-14400,-14400,
186,Rainy_River,-21600,-18000,"CAN,CAN-ON"
187,Rankin_Inlet,-21600,-18000,"CAN,CAN-NU"
188,Recife,-10800,-10800,
189,Regina,-21600,-21600,"CAN,CAN-SK"
190,Resolute,-21600,-18000,"CAN,CAN-NU"
191,Rio_Branco,-18000,-18000,
192,Rosario,-10800,-10800,
193,Santa_Isabel,-28800,-25200,
194,Santarem,-10800,-10800,
195,Santiago,-10800,-10800,
196,Santo_Domingo,-14400,-14400,
197,Sao_Paulo,-10800,-7200,
198,Scoresbysund,-3600,0,
199,Shiprock,-25200,-21600,
200,Sitka,-32400,-28800,
201,St_Barthelemy,-14400,-14400,
202,St_Johns,-12600,-9000,"CAN,CAN-NL"
203,St_Kitts,-14400,-14400,
204,St_Lucia,-14400,-14400,
205,St_Thomas,-14400,-14400,
206,St_Vincent,-14400,-14400,
207,Swift_Current,-21600,-21600,"CAN,CAN-SK"
208,Tegucigalpa,-21600,-21600,
209,Thule,-14400,-10800,
210,Thunder_Bay,-18000,-14400,"CAN,CAN-ON"
211,Tijuana,-28800,-25200,
212,Toronto,-18000,-14400,"CAN,CAN-ON"
213,Tortola,-14400,-14400,
214,Vancouver,-28800,-25200,"CAN,CAN-BC"
215,Virgin,-14400,-14400,
216,Whitehorse,-28800,-25200,"CAN,CAN-YT"
217,Winnipeg,-21600,-18000,"CAN,CAN-MB"
218,Yakutat,-32400,-28800,"USA,USA-AK"
219,Yellowknife,-25200,-21600,"CAN,CAN-NT"
220,Casey,28800,28800,
221,Davis,25200,25200,
222,DumontDUrville,36000,36000,
223,Macquarie,39600,39600,
224,Mawson,18000,18000,
225,McMurdo,43200,46800,
226,Palmer,-10800,-10800,
227,Rothera,-10800,-10800,
228,South_Pole,43200,46800,
229,Syowa,10800,10800,
230,Troll,0,7200,
231,Vostok,21600,21600,
232,Longyearbyen,3600,7200,
233,Aden,10800,10800,
234,Almaty,21600,21600,
235,Amman,7200,10800,
236,Anadyr,43200,43200,
237,Aqtau,18000,18000,
238,Aqtobe,18000,18000,
239,Ashgabat,18000,18000,
240,Ashkhabad,18000,18000,
241,Baghdad,10800,10800,
242,Bahrain,10800,10800,
243,Baku,14400,18000,
244,Bangkok,25200,25200,
245,Beirut,7200,10800,
246,Bishkek,21600,21600,
247,Brunei,28800,28800,
248,Calcutta,19800,19800,
249,Chita,28800,28800,
250,Choibalsan,28800,32400,
251,Chongqing,28800,28800,
252,Chungking,28800,28800,
253,Colombo,19800,19800,
254,Dacca,21600,21600,
255,Damascus,7200,10800,
256,Dhaka,21600,21600,
257,Dili,32400,32400,
258,Dubai,14400,14400,
259,Dushanbe,18000,18000,
260,Gaza,7200,10800,
261,Harbin,28800,28800,
262,Hebron,7200,10800,
263,Ho_Chi_Minh,25200,25200,
264,Hong_Kong,28800,28800,
265,Hovd,25200,28800,
266,Irkutsk,28800,28800,
267,Istanbul,7200,10800,
268,Jakarta,25200,25200,
269,Jayapura,32400,32400,
270,Jerusalem,7200,10800,
271,Kabul,16200,16200,
272,Kamchatka,43200,43200,
273,Karachi,18000,18000,
274,Kashgar,21600,21600,
275,Kathmandu,20700,20700,
276,Katmandu,20700,20700,
277,Khandyga,32400,32400,
278,Kolkata,19800,19800,
279,Krasnoyarsk,25200,25200,
280,Kuala_Lumpur,28800,28800,
281,Kuching,28800,28800,
282,Kuwait,10800,10800,
283,Macao,28800,28800,
284,Macau,28800,28800,
285,Magadan,36000,36000,
286,Makassar,28800,28800,
287,Manila,28800,28800,
288,Muscat,14400,14400,
289,Nicosia,7200,10800,
290,Novokuznetsk,25200,25200,
291,Novosibirsk,21600,21600,
