Utility Number,Utility Name,State,country,Division_type,Division_id
21095,Public Serv Comm of Yazoo City,MS,US,NERC_REGION,SERC
21101,Village of Yellow Springs - (OH),OH,US,NERC_REGION,RFC
21108,City of Yoakum - (TX),TX,US,NERC_REGION,TRE
21111,Perennial Public Power Dist,NE,US,NERC_REGION,SPP
21114,Yazoo Valley Elec Power Assn,MS,US,NERC_REGION,SERC
21140,Yuba County Water Agency,CA,US,NERC_REGION,WECC
21143,City of Yuma - (CO),CO,US,NERC_REGION,WECC
21158,City of Zeeland - (MI),MI,US,NERC_REGION,RFC
21160,Borough of Zelienople - (PA),PA,US,NERC_REGION,RFC
21239,Electrical Dist No7 Maricopa,AZ,US,NERC_REGION,WECC
21244,"Southside Electric Coop, Inc",VA,US,NERC_REGION,SERC
21249,"HQ Energy Services (U.S.), Inc",CT,US,NERC_REGION,NPCC
21352,Municipal Energy Agency of NE,NE,US,NERC_REGION,MRO
21514,"Flowell Electric Assn, Inc",UT,US,NERC_REGION,WECC
21526,City of Laurens - (SC),SC,US,NERC_REGION,SERC
21533,City of Minneapolis - (KS),KS,US,NERC_REGION,SPP
21538,"Mohave Electric Cooperative, I",AZ,US,NERC_REGION,WECC
21554,Seminole Electric Cooperative Inc,FL,US,NERC_REGION,FRCC
21567,"Washington-St Tammany E C, Inc",LA,US,NERC_REGION,SERC
21632,EnergyUnited Elec Member Corp,NC,US,NERC_REGION,SERC
21704,MSR Public Power Agency,CA,US,NERC_REGION,WECC
22053,Kentucky Power Co,OH,US,NERC_REGION,RFC
22056,Smarr EMC,GA,US,NERC_REGION,SERC
22355,PUD No 1 of Mason County,WA,US,NERC_REGION,WECC
22500,"Evergy Kansas Central, Inc",KS,US,NERC_REGION,SPP
22646,"United Electric Coop, Inc - (MO)",MO,US,NERC_REGION,SERC
22690,Roosevelt County Elec Coop Inc,NM,US,NERC_REGION,SPP
22814,Raft Rural Elec Coop Inc,ID,US,NERC_REGION,WECC
22815,Delta Electric Power Assn,MS,US,NERC_REGION,SERC
22822,Clark County Rural E M C - (IN),IN,US,NERC_REGION,RFC
23326,"Sierra Electric Coop, Inc",NM,US,NERC_REGION,WECC
23586,"Vigilante Electric Coop, Inc",MT,US,NERC_REGION,
23826,Bluestem Electric Coop Inc,KS,US,NERC_REGION,SPP
24211,Tucson Electric Power Co,AZ,US,NERC_REGION,WECC
24431,Utah Municipal Power Agency,UT,US,NERC_REGION,WECC
24486,City of Akutan - (AK),AK,US,NERC_REGION,AK
24558,City of Escanaba,MI,US,NERC_REGION,MRO
24590,Unitil Energy Systems,NH,US,NERC_REGION,NPCC
24753,Boone County Rural EMC,IN,US,NERC_REGION,RFC
24889,Brunswick Electric Member Corp,NC,US,NERC_REGION,SERC
24949,Cass County Elec Coop Inc,ND,US,NERC_REGION,MRO
25060,Wellton-Mohawk Irr & Drain Dist,AZ,US,NERC_REGION,WECC
25177,Dakota Electric Association,MN,US,NERC_REGION,MRO
25251,"Entergy Power, LLC",AR,US,NERC_REGION,SERC
25295,Western Indiana Energy REMC,IN,US,NERC_REGION,RFC
25866,Ak-Chin Electric Utility Authority,AZ,US,NERC_REGION,WECC
26120,Town of Langford- (SD),SD,US,NERC_REGION,MRO
26218,Little Ocmulgee El Member Corp,GA,US,NERC_REGION,SERC
